tiengNhat,romaji,nghia,kana
切ります,kirimasu,cắt,きります
送ります,okurimasu,gửi,おくります
あげます,agemasu,"cho, tặng",あげます
もらいます,moraimasu,nhận,もらいます
貸します,kashimasu,"cho mượn, cho vay",かします
借ります,karimasu,"mượn, vay",かります
教えます,oshiemasu,dạy,おしえます
習います,naraimasu,"học, tập",ならいます
電話をかけます,denwa o kakemasu,gọi điện thoại,でんわをかけます
手,te,tay,て
箸,hashi,đũa,はし
スプーン,supuun,thìa,すぷーん
ナイフ,naifu,dao,ないふ
フォーク,fooku,"nĩa, dĩa",ふぉーく
はさみ,hasami,kéo,はさみ
ファクス,fakusu,fax,ふぁくす
ワープロ,waapuro,máy đánh chữ,わーぷろ
パソコン,pasokon,máy vi tính cá nhân,ぱそこん
パンチ,panchi,cái đục lỗ,ぱんち
ホッチキス,hocchikisu,cái dập ghim,ほっちきす
セロテープ,seroteepu,băng dính,せろてーぷ
けしゴム,keshigomu,cái tẩy,けしごむ
紙,kami,giấy,かみ
花,hana,hoa,はな
シャツ,shatsu,áo sơ mi,しゃつ
プレゼント,purezento,quà tặng,ぷれぜんと
荷物,nimotsu,"đồ đạc, hành lý",にもつ
お金,okane,tiền,おかね
切符,kippu,vé,きっぷ
クリスマス,kurisumasu,Giáng sinh,くりすます
父,chichi,bố (bố mình),ちち
母,haha,mẹ (mẹ mình),はは
お父さん,otousan,bố (bố người khác),おとうさん
お母さん,okaasan,mẹ (mẹ người khác),おかあさん
旅行,ryokou,du lịch,りょこう
お土産,omiyage,quà (mua khi đi xa),おみやげ
ヨーロッパ,yooroppa,Châu Âu,よーろっぱ
スペイン,supein,Tây Ban Nha,すぺいん
いかがですか,ikaga desu ka,~ thế nào? / mời dùng ~ (lịch sự),いかがですか
どうぞ,douzo,xin mời,どうぞ
いただきます,itadakimasu,tôi xin phép dùng (khi ăn/uống),いただきます
お茶,ocha,trà,おちゃ
お水,omizu,nước (uống),おみず
飲み物,nomimono,đồ uống,のみもの
メール,meeru,thư điện tử (email),めーる
言葉,kotoba,từ ngữ / lời,ことば
年賀状,nengajou,thiệp chúc mừng năm mới,ねんがじょう
これから,korekara,từ giờ / từ nay,これから
まだ,mada,vẫn còn / chưa,まだ
もう,mou,đã…rồi / sắp,もう
素敵ですね,suteki desu ne,đẹp/tuyệt nhỉ!,すてきですね
どうぞお上がりください,douzo oagari kudasai,mời anh/chị vào nhà,どうぞおあがりください
失礼します,shitsurei shimasu,tôi xin phép (vào / làm phiền),しつれいします
ごちそうさまでした,gochisousama deshita,cảm ơn vì bữa ăn (sau khi ăn),ごちそうさまでした
祖父,sofu,ông (của mình),そふ
祖母,sobo,bà (của mình),そぼ
祖父母,sofubo,ông bà (của mình),そふぼ
両親,ryoushin,bố mẹ (của mình),りょうしん
兄,ani,anh trai (của mình),あに
姉,ane,chị gái (của mình),あね
弟,otouto,em trai (của mình),おとうと
妹,imouto,em gái (của mình),いもうと
兄弟,kyoudai,anh chị em (của mình),きょうだい
夫,otto,chồng (của mình),おっと
妻,tsuma,vợ (của mình),つま
夫婦,fuufu,vợ chồng (của mình),ふうふ
息子,musuko,con trai (của mình),むすこ
娘,musume,con gái (của mình),むすめ
子供,kodomo,con (con cái),こども
おじいさん,ojiisan,ông (của người khác) / ông cụ,おじいさん
おばあさん,obaasan,bà (của người khác) / bà cụ,おばあさん
ご両親,goryoushin,bố mẹ (của người khác),ごりょうしん
お兄さん,oniisan,anh trai (của người khác),おにいさん
お姉さん,oneesan,chị gái (của người khác),おねえさん
弟さん,otoutosan,em trai (của người khác),おとうとさん
妹さん,imoutosan,em gái (của người khác),いもうとさん
ご兄弟,gokyoudai,anh chị em (của người khác),ごきょうだい
奥さん,okusan,vợ (của người khác),おくさん
ご主人,goshujin,chồng (của người khác),ごしゅじん
ご夫婦,gofuufu,vợ chồng (của người khác),ごふうふ
息子さん,musukosan,con trai (của người khác),むすこさん
娘さん,musumesan,con gái (của người khác),むすめさん
お子さん,okosan,con (của người khác),おこさん
