tiengNhat,romaji,nghia,kana
ここ,koko,chỗ này,ここ
そこ,soko,chỗ đó,そこ
あそこ,asoko,chỗ kia,あそこ
どこ,doko,ở đâu,どこ
こちら,kochira,chỗ này (lịch sự của ここ),こちら
そちら,sochira,chỗ đó (lịch sự của そこ),そちら
あちら,achira,chỗ kia (lịch sự của あそこ),あちら
どちら,dochira,ở đâu (lịch sự của どこ),どちら
教室,kyoushitsu,lớp học,きょうしつ
食堂,shokudou,nhà ăn,しょくどう
じむしょ,jimusho,văn phòng,じむしょ
かいぎしつ,kaigishitsu,phòng họp,かいぎしつ
うけつけ,uketsuke,lễ tân,うけつけ
ロビー,robii,sảnh đợi,ろびー
部屋,heya,căn phòng,へや
トイレ,toire,nhà vệ sinh — lịch sự: おてあらい,といれ
お手洗い,otearai,nhà vệ sinh (lịch sự của トイレ),おてあらい
階段,kaidan,cầu thang,かいだん
エレベーター,erebeetaa,thang máy,えれべーたー
エスカレーター,esukareetaa,thang cuốn,えすかれーたー
じどうはんばいき,jidouhanbaiki,máy bán hàng tự động,じどうはんばいき
電話,denwa,điện thoại,でんわ
国,kuni,đất nước (của tôi),くに
おくに,okuni,đất nước (của bạn),おくに
会社,kaisha,công ty,かいしゃ
うち,uchi,nhà,うち
靴,kutsu,giày,くつ
ネクタイ,nekutai,cà vạt,ねくたい
ワイン,wain,rượu,わいん
うりば,uriba,quầy bán hàng,うりば
ちか,chika,tầng hầm,ちか
かい,kai,tầng (~がい),かい
なんがい,nangai,tầng mấy,なんがい
えん,en,yên,えん
いくら,ikura,bao nhiêu tiền,いくら
百,hyaku,trăm,ひゃく
千,sen,nghìn,せん
万,man,mười nghìn,まん
すみません,sumimasen,xin lỗi,すみません
どうも,doumo,cảm ơn,どうも
いらっしゃいませ,irasshaimase,xin chào quý khách,いらっしゃいませ
をみせてください,misete kudasai,cho tôi xem ~,みせてください
じゃ、をください,"ja, kudasai",cho tôi ~,じゃください
イタリア,itaria,Ý,いたりあ
スイス,suisu,Thụy Sĩ,すいす
催し物会場,moyooshimonokaijou,khu tổ chức sự kiện / hội trường,もよおしものかいじょう
眼鏡,megane,kính (mắt kính),めがね
スポーツ用品,supootsuyouhin,dụng cụ thể thao,すぽーつようひん
旅行用品,ryokouyouhin,đồ dùng du lịch,りょこうようひん
子供服,kodomofuku,quần áo trẻ em,こどもふく
おもちゃ,omocha,đồ chơi,おもちゃ
文房具,bunbougu,văn phòng phẩm / dụng cụ học tập,ぶんぼうぐ
家具,kagu,"đồ nội thất (bàn ghế, tủ…)",かぐ
食器,shokki,bát đĩa / đồ dùng ăn uống,しょっき
電化製品,denkaseihin,đồ điện gia dụng,でんかせいひん
紳士服,shinshifuku,quần áo nam (âu phục nam),しんしふく
婦人服,fujinfuku,quần áo nữ,ふじんふく
アクセサリー,akusesarii,phụ kiện / đồ trang sức,あくせさりー
化粧品,keshouhin,mỹ phẩm,けしょうひん
食品,shokuhin,thực phẩm,しょくひん
駐車場,chuushajou,bãi đỗ xe,ちゅうしゃじょう
