tiengNhat,romaji,nghia,kana
遊びます,asobimasu,"chơi, đi chơi",あそびます
泳ぎます,oyogimasu,bơi,およぎます
迎えます,mukaemasu,đón (người),むかえます
疲れます,tsukaremasu,mệt,つかれます
結婚します,kekkon shimasu,kết hôn,けっこんします
買い物します,kaimono shimasu,mua sắm,かいものします
食事します,shokuji shimasu,"dùng bữa, ăn cơm",しょくじします
散歩します,sanpo shimasu,đi dạo (こうえんを さんぽします),さんぽします
大変,taihen,"vất vả, khó khăn (tính từ な)",たいへん
欲しい,hoshii,muốn (có cái gì),ほしい
寂しい,sabishii,"buồn, cô đơn",さびしい
広い,hiroi,rộng,ひろい
狭い,semai,"hẹp, chật",せまい
プール,puuru,bể bơi,プール
川,kawa,sông,かわ
美術,bijutsu,mỹ thuật,びじゅつ
釣り,tsuri,câu cá,つり
スキー,sukii,trượt tuyết,スキー
週末,shuumatsu,cuối tuần,しゅうまつ
お正月,oshougatsu,"Tết, năm mới",おしょうがつ
～ごろ,goro,khoảng (thời điểm),ごろ
何か,nanika,cái gì đó,なにか
どこか,dokoka,nơi nào đó,どこか
疲れました,tsukaremashita,mệt rồi (trạng thái),つかれました
のどが 渇きます,nodo ga kawakimasu,khát nước,のどが かわきます
のどが 渇きました,nodo ga kawakimashita,khát nước rồi (trạng thái),のどが かわきました
おなかが すきます,onaka ga sukimasu,đói bụng,おなかが すきます
おなかが すきました,onaka ga sukimashita,đói bụng rồi (trạng thái),おなかが すきました
おなかが いっぱいです,onaka ga ippai desu,no bụng rồi,おなかが いっぱいです
そうしましょう,sou shimashou,"nhất trí, hãy làm vậy đi",そうしましょう
でございます,de gozaimasu,cách nói lịch sự của です,でございます
ご注文は,gochuumon wa,anh/chị gọi món gì ạ?,ごちゅうもんは
定食,teishoku,cơm suất (set ăn),ていしょく
牛丼,gyuudon,cơm thịt bò,ぎゅうどん
別々に,betsubetsu ni,"riêng, tính tiền riêng",べつべつに
かしこまりました,kashikomarimashita,"vâng, tôi rõ rồi (lịch sự)",かしこまりました
少々お待ちください,shoushou omachi kudasai,xin đợi một lát ạ,しょうしょう おまちください
博物館,hakubutsukan,bảo tàng,はくぶつかん
美術館,bijutsukan,bảo tàng mỹ thuật,びじゅつかん
図書館,toshokan,thư viện,としょかん
映画館,eigakan,rạp chiếu phim,えいがかん
動物園,doubutsuen,vườn bách thú,どうぶつえん
植物園,shokubutsuen,vườn bách thảo,しょくぶつえん
遊園地,yuuenchi,công viên giải trí,ゆうえんち
お寺,otera,chùa,おてら
神社,jinja,đền thờ đạo Thần,じんじゃ
教会,kyoukai,nhà thờ,きょうかい
モスク,mosuku,đền thờ đạo Hồi,モスク
体育館,taiikukan,nhà tập thể dục thể thao,たいいくかん
公園,kouen,công viên,こうえん
大使館,taishikan,đại sứ quán,たいしかん
入国管理局,nyuukoku kanrikyoku,cục xuất nhập cảnh,にゅうこくかんりきょく
区役所,kuyakusho,văn phòng hành chính quận,くやくしょ
市役所,shiyakusho,"tòa thị chính, ủy ban thành phố",しやくしょ
警察署,keisatsusho,đồn cảnh sát,けいさつしょ
交番,kouban,bốt cảnh sát,こうばん
消防署,shouboushou,trạm cứu hỏa,しょうぼうしょ
駐車場,chuushajou,bãi đỗ xe,ちゅうしゃじょう
大学,daigaku,trường đại học,だいがく
高校,koukou,trường phổ thông trung học,こうこう
中学校,chuugakkou,trường phổ thông cơ sở,ちゅうがっこう
小学校,shougakkou,trường tiểu học,しょうがっこう
幼稚園,youchien,trường mẫu giáo,ようちえん
肉屋,nikuya,cửa hàng thịt,にくや
パン屋,panya,cửa hàng bánh mì,パンや
魚屋,sakanaya,cửa hàng cá,さかなや
酒屋,sakaya,cửa hàng rượu,さかや
八百屋,yaoya,cửa hàng rau,やおや
喫茶店,kissaten,quán giải khát,きっさてん
コンビニ,konbini,cửa hàng tiện lợi,コンビニ
スーパー,suupaa,siêu thị,スーパー
デパート,depaato,cửa hàng bách hóa,デパート
