tiengNhat,romaji,nghia,kana,phuluc
います,imasu,"có (con cái), ở (một nơi)",います,
かかります,kakarimasu,"mất, tốn (thời gian, tiền)",かかります,
休みます,yasumimasu,"nghỉ (làm, học)",やすみます,
一つ,hitotsu,một cái,ひとつ,
二つ,futatsu,hai cái,ふたつ,
三つ,mittsu,ba cái,みっつ,
四つ,yottsu,bốn cái,よっつ,
五つ,itsutsu,năm cái,いつつ,
六つ,muttsu,sáu cái,むっつ,
七つ,nanatsu,bảy cái,ななつ,
八つ,yattsu,tám cái,やっつ,
九つ,kokonotsu,chín cái,ここのつ,
十,too,mười cái,とお,
いくつ,ikutsu,mấy cái,いくつ,
一人,hitori,một người,ひとり,
二人,futari,hai người,ふたり,
～人,~nin,～ người,～にん,
～台,~dai,"～ cái (máy móc, xe)",～だい,
～枚,~mai,"～ tờ, tấm (vật mỏng)",～まい,
～回,~kai,～ lần,～かい,
りんご,ringo,quả táo,りんご,
みかん,mikan,quả quýt,みかん,
サンドイッチ,sandoicchi,bánh sandwich,サンドイッチ,
カレーライス,kareeraisu,cơm cà ri,カレーライス,
アイスクリーム,aisukuriimu,kem,アイスクリーム,
切手,kitte,tem,きって,
はがき,hagaki,bưu thiếp,はがき,
封筒,fuutou,phong bì,ふうとう,
速達,sokutatsu,"gửi nhanh, chuyển phát nhanh",そくたつ,
書留,kakitome,gửi bảo đảm,かきとめ,
エアメール,eameeru,thư gửi đường hàng không,エアメール,
航空便,koukuubin,gửi đường hàng không,こうくうびん,
船便,funabin,gửi đường biển,ふなびん,
両親,ryoushin,bố mẹ,りょうしん,
兄弟,kyoudai,anh chị em,きょうだい,
兄,ani,anh trai (của mình),あに,
お兄さん,oniisan,anh trai (của người khác),おにいさん,
姉,ane,chị gái (của mình),あね,
お姉さん,oneesan,chị gái (của người khác),おねえさん,
弟,otouto,em trai (của mình),おとうと,
弟さん,otouto-san,em trai (của người khác),おとうとさん,
妹,imouto,em gái (của mình),いもうと,
妹さん,imouto-san,em gái (của người khác),いもうとさん,
外国,gaikoku,nước ngoài,がいこく,
～時間,~jikan,～ tiếng (giờ),～じかん,
～週間,~shuukan,～ tuần,～しゅうかん,
～か月,~kagetsu,～ tháng,～かげつ,
～年,~nen,～ năm,～ねん,
～ぐらい,~gurai,khoảng ～,～ぐらい,
どのくらい,donokurai,"bao lâu, bao nhiêu",どのくらい,
全部で,zenbu de,tổng cộng,ぜんぶで,
みんな,minna,"tất cả, mọi người",みんな,
～だけ,~dake,chỉ ～,～だけ,
いらっしゃいませ,irasshaimase,Xin mời vào (câu chào khách),いらっしゃいませ,
いい［お］てんきですね,ii [o]tenki desu ne,Trời đẹp nhỉ,いい［お］てんきですね,
お出かけですか,odekake desu ka,Anh/chị đi ra ngoài à?,おでかけですか,
ちょっと ～まで,chotto ~ made,Tôi đi ～ một chút,ちょっと～まで,
いってらっしゃい,itterasshai,Anh/chị đi nhé,いってらっしゃい,
いってまいります,itte mairimasu,Tôi đi đây,いってまいります,
それから,sorekara,"sau đó, tiếp theo",それから,
オーストラリア,Oosutoraria,nước Úc,オーストラリア,
留学生,ryuugakusei,du học sinh,りゅうがくせい,
クラス,kurasu,lớp học,クラス,
かしこまりました,kashikomarimashita,Vâng ạ (nhân viên đáp lại khách),かしこまりました,
いってきます,itte kimasu,Tôi đi đây (nói khi ra khỏi nhà),いってきます,
定食,teishoku,cơm suất (suất ăn có sẵn),ていしょく,1
ランチ,ranchi,suất cơm trưa,ランチ,1
天どん,tendon,cơm với tôm chiên tẩm bột,てんどん,1
親子どん,oyakodon,cơm với thịt gà và trứng,おやこどん,1
牛どん,gyuudon,cơm với thịt bò,ぎゅうどん,1
焼き肉,yakiniku,thịt nướng,やきにく,1
野菜いため,yasai itame,rau xào,やさいいため,1
つけもの,tsukemono,dưa muối,つけもの,1
みそしる,misoshiru,súp miso (canh tương),みそしる,1
おにぎり,onigiri,cơm nắm,おにぎり,1
てんぷら,tenpura,tôm/rau chiên tẩm bột,てんぷら,1
すし,sushi,sushi,すし,1
うどん,udon,mì udon (làm từ bột lúa mì),うどん,1
そば,soba,mì soba (làm từ bột kiều mạch),そば,1
ラーメン,raamen,mì Tàu (ramen),ラーメン,1
焼きそば,yakisoba,mì soba xào với rau và thịt,やきそば,1
お好み焼き,okonomiyaki,"bánh xèo Nhật (bắp cải, trứng, thịt lợn…)",おこのみやき,1
ハンバーグ,hanbaagu,thịt băm viên rán,ハンバーグ,1
コロッケ,korokke,khoai tây bọc bột chiên,コロッケ,1
エビフライ,ebifurai,tôm chiên xù,エビフライ,1
からあげ,karaage,thịt gà chiên,からあげ,1
サラダ,sarada,salad,サラダ,1
スープ,suupu,súp,スープ,1
スパゲッティ,supagetti,"mì Ý, spaghetti",スパゲッティ,1
ピザ,piza,bánh pizza,ピザ,1
ハンバーガー,hanbaagaa,bánh hamburger,ハンバーガー,1
トースト,toosuto,bánh mì nướng,トースト,1
コーヒー,koohii,cà phê,コーヒー,1
紅茶,koucha,trà đen (hồng trà),こうちゃ,1
ココア,kokoa,ca-cao,ココア,1
ジュース,juusu,nước hoa quả,ジュース,1
コーラ,koora,coca-cola,コーラ,1
