tiengNhat,romaji,nghia,kana
簡単,kantan,"đơn giản, dễ (tính từ な)",かんたん
近い,chikai,gần,ちかい
遠い,tooi,xa,とおい
速い,hayai,"nhanh, mau",はやい
遅い,osoi,"chậm, muộn",おそい
多い,ooi,nhiều [người],おおい
少ない,sukunai,ít [người],すくない
暖かい,atatakai,ấm (thời tiết),あたたかい
涼しい,suzushii,mát mẻ,すずしい
甘い,amai,ngọt,あまい
辛い,karai,"cay, mặn",からい
重い,omoi,nặng,おもい
軽い,karui,nhẹ,かるい
いい,ii,"thích, chọn, dùng [cà phê] (コーヒーが いいです)",いい
季節,kisetsu,mùa,きせつ
春,haru,mùa xuân,はる
夏,natsu,mùa hè,なつ
秋,aki,mùa thu,あき
冬,fuyu,mùa đông,ふゆ
天気,tenki,thời tiết,てんき
雨,ame,mưa,あめ
雪,yuki,tuyết,ゆき
曇り,kumori,"trời nhiều mây, râm",くもり
ホテル,hoteru,khách sạn,ホテル
空港,kuukou,sân bay,くうこう
海,umi,"biển, đại dương",うみ
世界,sekai,thế giới,せかい
パーティー,paatii,"tiệc, bữa tiệc",パーティー
お祭り,omatsuri,lễ hội,おまつり
試験,shiken,kỳ thi,しけん
すき焼き,sukiyaki,món sukiyaki (thịt bò nấu rau),すきやき
刺身,sashimi,gỏi cá sống (sashimi),さしみ
すし,sushi,sushi,すし
てんぷら,tenpura,món chiên tẩm bột (tôm/rau),てんぷら
豚肉,butaniku,"thịt heo, thịt lợn",ぶたにく
鶏肉,toriniku,thịt gà,とりにく
牛肉,gyuuniku,thịt bò,ぎゅうにく
レモン,remon,chanh,レモン
生け花,ikebana,nghệ thuật cắm hoa,いけばな
紅葉,momiji,"cây lá đỏ, lá đỏ",もみじ
ドライブ,doraibu,lái xe đi chơi,ドライブ
どちら,dochira,cái nào (trong hai cái),どちら
どちらも,dochiramo,cả hai,どちらも
一番,ichiban,nhất,いちばん
ずっと,zutto,"(hơn) hẳn, suốt",ずっと
初めて,hajimete,lần đầu tiên,はじめて
どうでしたか,dou deshita ka,(chuyện đó) đã thế nào?,どうでしたか
いかがでしたか,ikaga deshita ka,(chuyện đó) đã thế nào ạ? (lịch sự),いかがでしたか
ただいま,tadaima,tôi đã về đây (nói khi về đến nhà),ただいま
お帰りなさい,okaerinasai,anh/chị đã về đấy à (nói với người vừa về nhà),おかえりなさい
疲れました,tsukaremashita,tôi mệt rồi,つかれました
すごい,sugoi,"ghê gớm, kinh khủng",すごい
すごい 人ですね,sugoi hito desu ne,"ôi, (người) đông quá nhỉ!",すごい ひとですね
でも,demo,nhưng,でも
祇園祭,Gion-matsuri,Lễ hội Gi-ôn (lễ hội nổi tiếng nhất ở Kyoto),ぎおんまつり
香港,Honkon,Hồng Kông,ホンコン
シンガポール,Shingapooru,Singapore,シンガポール
