tiengNhat,romaji,nghia,kana
わかります,wakarimasu,"hiểu, nắm được",わかります
あります,arimasu,có (sở hữu),あります
好き,suki,thích,すき
嫌い,kirai,"ghét, không thích",きらい
上手,jouzu,"giỏi, khéo",じょうず
下手,heta,kém,へた
料理,ryouri,"món ăn, việc nấu ăn",りょうり
飲み物,nomimono,đồ uống,のみもの
スポーツ,supootsu,thể thao,スポーツ
野球,yakyuu,bóng chày,やきゅう
ダンス,dansu,"nhảy, khiêu vũ",ダンス
音楽,ongaku,âm nhạc,おんがく
歌,uta,bài hát,うた
クラシック,kurashikku,nhạc cổ điển,クラシック
ジャズ,jazu,nhạc jazz,ジャズ
コンサート,konsaato,buổi hòa nhạc,コンサート
カラオケ,karaoke,karaoke,カラオケ
歌舞伎,kabuki,kịch Kabuki,かぶき
絵,e,"tranh, hội họa",え
字,ji,chữ,じ
漢字,kanji,chữ Hán,かんじ
ひらがな,hiragana,chữ Hiragana,ひらがな
カタカナ,katakana,chữ Katakana,カタカナ
ローマ字,roomaji,chữ La-tinh,ローマじ
細かいお金,komakai okane,tiền lẻ,こまかいおかね
チケット,chiketto,vé,チケット
時間,jikan,thời gian,じかん
用事,youji,"việc bận, công chuyện",ようじ
約束,yakusoku,"cuộc hẹn, lời hứa",やくそく
ご主人,goshujin,chồng (người khác),ごしゅじん
主人,shujin,chồng (của mình),しゅじん
奥さん,okusan,vợ (người khác),おくさん
妻,tsuma,vợ (của mình),つま
子ども,kodomo,con cái,こども
よく,yoku,thường xuyên / rõ,よく
だいたい,daitai,đại khái,だいたい
たくさん,takusan,nhiều,たくさん
少し,sukoshi,"ít, một chút",すこし
全然,zenzen,hoàn toàn ~ không,ぜんぜん
早く,hayaku,"sớm, nhanh",はやく
どうして,doushite,tại sao,どうして
残念ですね,zannen desu ne,thật đáng tiếc nhỉ,ざんねんですね
もしもし,moshimoshi,a-lô (điện thoại),もしもし
